page,burst_time
P0,20
P1,2
P2,15
P3,19
P4,2
P5,8
P6,2
P7,16
P8,18
P9,12
P10,19
P11,2
P12,20
P13,12
P14,8
P15,15
P16,2
P17,19
P18,1
P19,6
P20,17
P21,14
P22,8
P23,16
P24,11
P25,14
P26,8
P27,13
P28,8
P29,9
P30,1
P31,20
P32,13
P33,16
P34,14
P35,14
P36,20
P37,16
P38,15
P39,15
P40,5
P41,8
P42,15
P43,16
P44,2
P45,20
P46,18
P47,16
P48,1
P49,20
P50,20
P51,14
P52,6
P53,1
P54,5
P55,3
P56,10
P57,1
P58,4
P59,13
P60,14
P61,20
P62,6
P63,16
P64,1
P65,4
P66,11
P67,20
P68,15
P69,19
P70,6
P71,15
P72,12
P73,14
P74,4
P75,10
P76,6
P77,6
P78,6
P79,2
P80,20
P81,16
P82,16
P83,6
P84,12
P85,2
P86,14
P87,17
P88,1
P89,1
P90,5
P91,13
P92,4
P93,14
P94,10
P95,3
P96,6
P97,20
P98,19
P99,17
