process,arrival_time,burst_time
P0,10,18
P1,68,3
P2,66,9
P3,45,1
P4,88,16
P5,49,6
P6,70,2
P7,32,6
P8,87,19
P9,97,11
P10,40,1
P11,6,20
P12,38,15
P13,72,19
P14,47,8
P15,83,6
P16,93,19
P17,70,9
P18,65,17
P19,7,11
P20,69,17
P21,84,17
P22,26,18
P23,16,16
P24,2,2
P25,68,18
P26,84,13
P27,65,17
P28,41,19
P29,60,4
P30,15,11
P31,43,12
P32,4,1
P33,19,3
P34,5,3
P35,74,7
P36,36,3
P37,10,15
P38,36,3
P39,4,16
P40,84,20
P41,2,20
P42,52,5
P43,71,17
P44,46,6
P45,57,12
P46,57,14
P47,25,8
P48,13,3
P49,54,13
P50,64,18
P51,51,11
P52,47,13
P53,60,15
P54,26,14
P55,57,14
P56,77,1
P57,71,19
P58,76,3
P59,7,12
P60,75,15
P61,16,7
P62,82,3
P63,94,20
P64,88,20
P65,80,13
P66,12,19
P67,33,6
P68,32,5
P69,77,10
P70,80,5
P71,98,16
P72,95,4
P73,70,17
P74,48,19
P75,16,17
P76,82,2
P77,83,5
P78,2,6
P79,34,17
P80,95,18
P81,84,19
P82,77,15
P83,2,9
P84,63,12
P85,50,4
P86,31,20
P87,56,15
P88,44,3
P89,39,14
P90,66,15
P91,86,1
P92,22,1
P93,69,11
P94,46,6
P95,95,9
P96,16,15
P97,91,4
P98,99,17
P99,92,12
