ID,Turnaround Time,Waiting Time
0,482.28,471.69
1,478.34,468.16
2,464.9,454.99
3,454.79,444.91
4,463.36,452.78
5,410.68,400.53
6,435.6,425.98
7,476.9,466.52
8,492.68,481.85
9,459.03,448.79
10,448.3,438.38
11,478.95,468.13
12,428.75,418.81
13,451.0,441.47
14,529.87,518.79
15,530.24,518.98
16,509.74,498.78
17,469.62,459.48
18,467.68,457.27
19,574.31,562.61
20,519.03,508.19
21,533.65,522.02
22,458.43,448.37
23,504.02,493.33
24,464.95,454.9
25,520.49,509.01
26,532.54,521.09
27,508.41,497.91
28,480.49,469.71
29,473.7,463.51
30,432.38,422.05
31,496.44,485.18
32,522.77,511.68
33,417.46,407.31
34,433.89,423.95
35,465.12,455.58
36,476.93,466.76
37,457.77,447.5
38,471.65,461.27
39,494.38,483.74
40,484.84,474.6
41,442.78,432.67
42,557.28,545.78
43,436.22,426.36
44,461.41,450.73
45,509.04,498.22
46,456.2,445.8
47,440.45,430.69
48,457.92,447.69
49,450.75,440.23
50,506.67,496.37
51,468.21,458.05
52,429.51,419.8
53,482.4,471.64
54,520.7,509.4
55,487.5,476.61
56,518.69,507.87
57,471.74,461.33
58,536.36,524.81
59,420.92,410.96
60,499.99,488.92
61,412.82,403.26
62,509.47,498.87
63,480.87,470.54
64,449.88,439.18
65,505.49,494.4
66,497.9,487.0
67,491.32,480.54
68,475.86,465.18
69,492.16,481.23
70,479.44,468.46
71,505.64,494.68
72,472.65,461.86
73,472.24,461.22
74,561.94,549.93
75,462.03,451.48
76,479.26,469.15
77,443.61,434.36
78,485.7,474.71
79,457.78,447.83
80,497.56,486.77
81,509.95,499.1
82,444.96,435.51
83,410.86,401.45
84,470.51,460.32
85,466.07,455.56
86,501.8,491.39
87,518.17,507.03
88,499.84,488.31
89,485.14,474.46
90,451.6,441.54
91,461.22,450.93
92,425.84,416.04
93,452.82,443.21
94,411.47,402.47
95,432.22,422.44
96,476.93,466.38
97,489.54,478.66
98,451.9,441.58
99,478.55,467.91

Average Times,466.3543,476.8411
