ID,Errors
0,86
1,87
2,87
3,82
4,93
5,78
6,84
7,89
8,86
9,87
10,79
11,80
12,87
13,86
14,87
15,90
16,87
17,87
18,84
19,83
20,86
21,85
22,87
23,90
24,83
25,84
26,83
27,87
28,86
29,77
30,83
31,93
32,88
33,81
34,84
35,85
36,80
37,85
38,89
39,84
40,86
41,88
42,86
43,86
44,78
45,85
46,85
47,83
48,86
49,83
50,87
51,90
52,77
53,82
54,84
55,86
56,87
57,91
58,78
59,82
60,87
61,81
62,94
63,79
64,88
65,81
66,82
67,85
68,85
69,85
70,83
71,86
72,81
73,83
74,83
75,86
76,89
77,90
78,85
79,86
80,77
81,82
82,85
83,82
84,87
85,82
86,80
87,82
88,81
89,84
90,86
91,78
92,84
93,86
94,89
95,89
96,90
97,81
98,92
99,88

Average errors,84.83
