ID,Turnaround Time,Waiting Time
0,343.87,333.28
1,307.64,297.46
2,288.89,278.98
3,292.72,282.89
4,311.66,301.17
5,301.35,291.2
6,278.13,268.51
7,311.71,301.49
8,340.88,330.17
9,316.62,306.38
10,288.07,278.15
11,352.25,341.47
12,286.35,276.41
13,274.14,264.61
14,355.81,344.73
15,368.31,357.15
16,353.7,342.74
17,310.62,300.48
18,325.81,315.4
19,380.05,368.35
20,345.03,334.19
21,368.29,356.74
22,291.91,281.85
23,332.44,321.75
24,297.61,287.72
25,369.79,358.45
26,368.96,357.66
27,316.99,306.49
28,333.3,322.52
29,301.33,291.14
30,315.73,305.4
31,357.17,345.91
32,355.12,344.03
33,301.42,291.27
34,298.55,288.63
35,277.3,267.76
36,298.28,288.28
37,295.66,285.51
38,327.04,316.66
39,329.92,319.28
40,313.75,303.51
41,280.95,270.84
42,386.95,375.45
43,297.46,287.6
44,324.26,313.69
45,333.08,322.26
46,317.82,307.46
47,276.24,266.54
48,319.4,309.22
49,315.44,304.92
50,302.75,292.57
51,302.66,292.56
52,281.42,271.73
53,338.72,327.96
54,357.83,346.54
55,333.89,323.15
56,338.65,327.83
57,313.1,302.69
58,375.37,363.82
59,293.41,283.45
60,340.06,328.99
61,277.02,267.46
62,330.45,320.01
63,315.13,304.8
64,337.8,327.15
65,370.54,359.45
66,341.33,330.44
67,341.35,330.6
68,325.73,315.05
69,338.03,327.1
70,328.89,317.94
71,346.21,335.25
72,327.37,316.58
73,340.05,329.06
74,396.88,384.87
75,315.74,305.19
76,294.46,284.41
77,258.91,249.66
78,324.39,313.52
79,294.26,284.42
80,337.4,326.61
81,327.64,316.97
82,278.26,268.81
83,256.37,247.15
84,303.37,293.2
85,330.82,320.31
86,332.66,322.25
87,353.02,341.88
88,361.9,350.37
89,322.41,311.9
90,287.73,277.81
91,300.15,289.86
92,272.04,262.57
93,278.4,268.79
94,242.9,233.9
95,289.2,279.48
96,310.05,299.69
97,340.81,329.93
98,318.61,308.39
99,332.49,321.93

Average Times,309.498,319.944
